,pair,clean,raw,name_type,Latitude,Longitude
18,"[[Mississippi River, United States|missippi+River]]","Mississippi River, United States",missippi+River,place,30.9845608,-91.6479705
30,"[[Temple Lot, Independence, Jackson County, Missouri|Temple]] of our God in [[Jackson County, Missouri|Jackson County]]","Temple Lot, Independence, Jackson County, Missouri","Temple]] of our God in [[Jackson County, Missou",place,39.0907542,-94.4279849703239
61,"[[Los Angeles, Los Angeles County, California|Los Angeles]]","Los Angeles, Los Angeles County, California",Los Angeles,place,34.0536909,-118.242766
66,"[[Los Angeles, Los Angeles County, California|Loss Angel]]","Los Angeles, Los Angeles County, California",Loss Angel,place,34.0536909,-118.242766
68,"[[Carson Valley, Nevada|Carson]]","Carson Valley, Nevada",Carson,place,38.9564898,-119.76805245184673
96,"[[Rocky Mountains, United States|Rocky Mountains]]","Rocky Mountains, United States",Rocky Mountains,place,43.3578532,-110.9175065
153,"[[Kirtland, Geauga County, Ohio|Kirtland]]","Kirtland, Geauga County, Ohio",Kirtland,place,41.595768,-81.2925925
191,"[[Savannah, Chatham County, Georgia|Savannah]]","Savannah, Chatham County, Georgia",Savannah,place,32.0809263,-81.0911768
211,"[[Fort Donelson, Stewart County, Tennessee|Fort Donalson]]","Fort Donelson, Stewart County, Tennessee",Fort Donalson,place,36.4804039,-87.8873184
217,"[[Savannah, Chatham County, Georgia|Savannah's]]","Savannah, Chatham County, Georgia",Savannah's,place,32.0809263,-81.0911768
328,"[[John King, b. 1834|John King]]","John King, b. 1834",John King,place,52.6699997,-8.6248215
348,"[[St. Louis, St. Louis County, Missouri|St Louis]]","St. Louis, St. Louis County, Missouri",St Louis,place,38.613395100000005,-90.25938328907534
349,"[[Charlestown, Jefferson County, Virginia|Charlestown V.a.]]","Charlestown, Jefferson County, Virginia",Charlestown V.a.,place,39.3870972,-77.8852688
369,"[[New Orleans, Louisiana|New Orleans]]","New Orleans, Louisiana",New Orleans,place,29.9759983,-90.0782127
